1,Barbarendorf,506,478,0,562,0
2,Maggie%7C03,484,495,1577404913,1164,0
3,Barbarendorf,507,475,0,227,0
4,Barbarendorf,535,509,0,1096,0
5,016+Ich-AG,478,518,1577230550,3470,4
6,marrrrta.,465,503,1577411731,2074,0
7,Barbarendorf,520,499,0,819,0
8,KochsBesucherzentrum+008,506,471,1577300142,5520,1
9,001-K%C3%B6nigsmund,462,511,1576718136,7790,0
10,Barbarendorf,534,559,0,854,0
11,Bonusdorf,491,554,0,936,6
12,%7B002%7DEisenm%C3%A4nner,488,480,1577421691,10148,0
13,Barbarendorf,499,514,0,762,0
14,Bonusdorf,524,484,0,547,4
15,Deff-Dorf,526,477,1576367854,4056,0
16,Barbarendorf,489,503,0,980,0
17,Meggen,528,471,1577417244,2926,0
18,Barbarendorf,488,567,0,926,0
19,AG-007+Elf,490,552,10043221,4453,5
20,Sahra,529,480,9553851,3647,0
21,Barbarendorf,528,536,0,611,0
22,Barbarendorf,536,471,0,164,0
23,%7B005%7DBaldur,496,523,1577314246,6779,0
24,Soldorf,513,530,10025757,4364,0
25,Barbarendorf,461,490,0,330,0
26,axx7+AG,463,486,1577417219,5138,0
27,012+Schmaggo,465,493,1576966358,6908,0
28,Barbarendorf,488,439,0,656,0
29,%7B012%7DLeben+des+Brain,490,515,1577314246,4160,4
30,Herr+der+Schildkr%C3%B6ten,452,495,1576535624,6481,0
31,Exodar,561,516,1576905692,858,0
32,Bonusdorf,454,479,0,419,9
33,001+-+Back+Squat,462,495,1576854463,6827,0
34,Barbarendorf,528,508,0,579,0
35,014,476,493,1577414888,8137,0
36,Barbarendorf,546,448,0,725,0
37,009+Rip+Banane,477,489,1576966358,7075,0
38,Barbarendorf,505,566,0,745,0
39,005+-+Front+Squat,454,501,1576854463,7303,0
40,Barbarendorf,455,508,0,659,0
41,Monkey+d+ruffy,503,571,1577417742,2307,2
42,%23009,452,479,9674526,4898,0
43,D%C3%B6rfle,472,505,9898251,1059,0
44,Piccolo,454,493,1576535624,6053,0
45,Barbarendorf,547,537,0,716,0
46,44%7C76%7C62+-+Ballerbuden+Bagaluten,462,476,1577083798,2611,4
47,Barbarendorf,461,476,0,181,0
48,Barbarendorf,540,469,0,1004,0
49,0000+0110,530,488,1577421403,4436,3
