1,Barbarendorf,506,478,0,1992,0
2,Maggie%7C08,484,495,1577404913,6012,0
3,Barbarendorf,507,475,0,577,0
4,%5B0000000030%5D,535,509,9496793,4027,0
5,016+Ich-AG,478,518,1577230550,9215,4
6,Sepperl+007,465,503,8033485,8100,0
7,Barbarendorf,520,499,0,2171,0
8,KochsBesucherzentrum+008,506,471,1577300142,10215,1
9,001-K%C3%B6nigsmund,462,511,1576718136,9160,0
10,Barbarendorf,534,559,8014171,2044,0
11,AG-028+Azriel,491,554,10043221,4699,6
12,%7B002%7DEisenm%C3%A4nner,488,480,1577421691,11050,0
13,Barbarendorf,499,514,0,1726,0
14,Bonusdorf,524,484,0,1396,4
15,Deff-Dorf,526,477,1576367854,6291,0
16,Kaigun+Honbu,489,503,1576719852,3416,0
17,016+Meggen,528,471,1577375504,6901,0
18,Barbarendorf,488,567,0,1869,0
19,AG-007+Elf,490,552,10043221,9102,5
20,008,529,480,1577345406,5867,0
21,Barbarendorf,528,536,0,1905,0
22,Barbarendorf,536,471,0,928,0
23,%7B005%7DBaldur,496,523,1577314246,9582,0
24,12+Seppl%27s+Dorf,513,530,1577338263,5857,0
25,AG+f%C3%BCr+Eigentums%C3%BCbertragung,461,490,1577414839,3548,0
26,PLAGE,463,486,10208186,7673,0
27,012+Schmaggo,465,493,1576966358,8055,0
28,Ezra+Church,488,439,1577416977,4817,0
29,%7B012%7DLeben+des+Brain,490,515,1577314246,9002,4
30,040+Pr%C3%BCgel%21,452,495,1577386677,8273,0
31,Barbarendorf,561,516,0,1287,0
32,Bonusdorf,454,479,1577083680,1348,9
33,y005,462,495,1577361515,8941,0
34,Barbarendorf,528,508,0,1280,0
35,038+Jagdrevier,476,493,1577415356,9728,0
36,%23015,546,448,1577305388,4484,0
37,040+Jagdrevier,477,489,1577415356,9056,0
38,Barbarendorf,505,566,0,2399,0
39,WorldsEnd,454,501,1577025997,8226,0
40,Barbarendorf,455,508,0,2006,0
41,Monkey+d+ruffy,503,571,1577417742,9559,2
42,f002,452,479,1577361515,8458,0
43,D%C3%B6rfle,472,505,9898251,5659,0
44,041+%7C+Pepperoni+Pizza,454,493,1577375287,6334,0
45,Barbarendorf,547,537,0,1901,0
46,44%7C76%7C62+-+Ballerbuden+Bagaluten,462,476,1577083798,3506,4
47,Barbarendorf,461,476,0,360,0
48,45%3A64%3A90+%2F%2F+-+07,540,469,1576923185,4432,0
49,KochsBesucherzentrum+035,530,488,1577300142,6387,3
50,011,478,497,9883742,9730,0
51,WorldsEnd,451,501,1577025997,9299,0
52,Barbarendorf,489,563,0,1890,0
53,006+Silbermond,470,506,1577416049,10577,0
54,Barbarendorf,527,494,0,1758,0
55,Kein+Bonusdorf,515,435,1577299650,3703,1
56,007+-+GoGames+-+009+K%C3%B6nigsbrunn,469,508,1882792,10996,0
57,%23018+Promenade+West,550,463,1577421519,5909,0
58,PLAGE,467,489,10208186,9082,0
59,%23018,541,448,1577305388,2828,0
60,006+-+klAGe,543,511,1577382746,9051,4
61,015+Berlin,459,499,831449,8871,0
62,Barbarendorf,511,470,0,1909,0
63,026,472,497,1428213,9232,0
64,AG-053,471,535,10043221,6515,1
65,y001,458,493,1577361515,8222,0
66,Barbarendorf,557,511,0,1854,0
67,Barbarendorf,472,489,0,2386,6
68,K---6.W-AGGRO,502,473,1577419647,6519,0
69,Barbarendorf,480,483,0,2369,0
